# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	40417	41931	-	WP_000787103.1	WP_000787103.1		L-carnitine/gamma-butyrobetaine antiport BCCT transporter	caiT		Y75_RS00210	1515	504	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	42403	43173	+							Y75_RS00215	771		old_locus_tag=Y75_p0041
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	42403	43173	+	WP_000692204.1	WP_000692204.1		electron transfer flavoprotein FixA			Y75_RS00215	771	256	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	43188	44129	+							Y75_RS00220	942		old_locus_tag=Y75_p0042
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	43188	44129	+	WP_001091499.1	WP_001091499.1		electron transfer flavoprotein subunit alpha/FixB family protein			Y75_RS00220	942	313	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	44180	45466	+							Y75_RS00225	1287		old_locus_tag=Y75_p0043
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	44180	45466	+	WP_001287715.1	WP_001287715.1		FAD-dependent oxidoreductase			Y75_RS00225	1287	428	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	45463	45750	+					fixX		Y75_RS00230	288		old_locus_tag=Y75_p0044
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	45463	45750	+	WP_000203741.1	WP_000203741.1		ferredoxin-like protein FixX	fixX		Y75_RS00230	288	95	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	45807	47138	+							Y75_RS00235	1332		old_locus_tag=Y75_p0045
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	45807	47138	+	WP_001183198.1	WP_001183198.1		MFS transporter			Y75_RS00235	1332	443	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	47246	47776	+					kefF		Y75_RS00240	531		old_locus_tag=Y75_p0046
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	47246	47776	+	WP_000600725.1	WP_000600725.1		glutathione-regulated potassium-efflux system oxidoreductase KefF	kefF		Y75_RS00240	531	176	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	47769	49631	+					kefC		Y75_RS00245	1863		old_locus_tag=Y75_p0047
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	47769	49631	+	WP_000377098.1	WP_000377098.1		glutathione-regulated potassium-efflux system protein KefC	kefC		Y75_RS00245	1863	620	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	49823	50302	+					folA		Y75_RS00250	480		old_locus_tag=Y75_p0048
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	49823	50302	+	WP_000624375.1	WP_000624375.1		type 3 dihydrofolate reductase	folA		Y75_RS00250	480	159	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	50380	51222	-					apaH		Y75_RS00255	843		old_locus_tag=Y75_p0049
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	50380	51222	-	WP_000257192.1	WP_000257192.1		bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH	apaH		Y75_RS00255	843	280	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	51229	51606	-					apaG		Y75_RS00260	378		old_locus_tag=Y75_p0050
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	51229	51606	-	WP_000610901.1	WP_000610901.1		Co2+/Mg2+ efflux protein ApaG	apaG		Y75_RS00260	378	125	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	51609	52430	-					rsmA		Y75_RS00265	822		old_locus_tag=Y75_p0051
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	51609	52430	-	WP_001065381.1	WP_001065381.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		Y75_RS00265	822	273	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	52427	53416	-					pdxA		Y75_RS00270	990		old_locus_tag=Y75_p0052
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	52427	53416	-	WP_000241277.1	WP_000241277.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA		Y75_RS00270	990	329	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	53416	54702	-					surA		Y75_RS00275	1287		old_locus_tag=Y75_p0053
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	53416	54702	-	WP_000800457.1	WP_000800457.1		peptidylprolyl isomerase SurA	surA		Y75_RS00275	1287	428	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	54755	57109	-					lptD		Y75_RS00280	2355		old_locus_tag=Y75_p0054
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	54755	57109	-	WP_000746151.1	WP_000746151.1		LPS assembly protein LptD	lptD		Y75_RS00280	2355	784	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	57364	58179	+					djlA		Y75_RS00285	816		old_locus_tag=Y75_p0055
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	57364	58179	+	WP_001200579.1	WP_001200579.1		co-chaperone DjlA	djlA		Y75_RS00285	816	271	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	58474	59124	+							Y75_RS00290	651		old_locus_tag=Y75_p0056
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	58474	59124	+	WP_001393555.1	WP_001393555.1		hypothetical protein			Y75_RS00290	651	216	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59121	59279	+							Y75_RS24700	159		
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59121	59279	+	WP_001393554.1	WP_001393554.1		hypothetical protein			Y75_RS24700	159	52	
gene	pseudogene	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59296	59474	-							Y75_RS24705	179		partial;pseudo
CDS	without_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59296	59474	-				IS4 family transposase			Y75_RS24705	179		partial;pseudo
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59687	60346	-					rluA		Y75_RS00295	660		old_locus_tag=Y75_p0058
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	59687	60346	-	WP_000525176.1	WP_000525176.1		bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	rluA		Y75_RS00295	660	219	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	60358	63264	-					rapA		Y75_RS00300	2907		old_locus_tag=Y75_p0059
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	60358	63264	-	WP_001117011.1	WP_001117011.1		RNA polymerase-associated protein RapA	rapA		Y75_RS00300	2907	968	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	63429	65780	-					polB		Y75_RS00305	2352		old_locus_tag=Y75_p0060
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	63429	65780	-	WP_000035670.1	WP_000035670.1		DNA polymerase II	polB		Y75_RS00305	2352	783	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	65855	66550	-					araD		Y75_RS00310	696		old_locus_tag=Y75_p0061
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	65855	66550	-	WP_000888666.1	WP_000888666.1		L-ribulose-5-phosphate 4-epimerase	araD		Y75_RS00310	696	231	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	66835	68337	-					araA		Y75_RS00315	1503		old_locus_tag=Y75_p0062
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	66835	68337	-	WP_000151748.1	WP_000151748.1		L-arabinose isomerase	araA		Y75_RS00315	1503	500	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	68348	70048	-					araB		Y75_RS00320	1701		old_locus_tag=Y75_p0063
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	68348	70048	-	WP_000951856.1	WP_000951856.1		ribulokinase	araB		Y75_RS00320	1701	566	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	70387	71265	+					araC		Y75_RS00325	879		old_locus_tag=Y75_p0064
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	70387	71265	+	WP_001300811.1	WP_001300811.1		arabinose operon transcriptional regulator AraC	araC		Y75_RS00325	879	292	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	71351	72115	+							Y75_RS00330	765		old_locus_tag=Y75_p0065
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	71351	72115	+	WP_001148390.1	WP_001148390.1		DedA family protein			Y75_RS00330	765	254	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	72229	72927	-					thiQ		Y75_RS00335	699		old_locus_tag=Y75_p0066
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	72229	72927	-	WP_000916281.1	WP_000916281.1		thiamine ABC transporter ATP-binding protein ThiQ	thiQ		Y75_RS00335	699	232	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	72911	74521	-					thiP		Y75_RS00340	1611		old_locus_tag=Y75_p0067
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	72911	74521	-	WP_000235721.1	WP_000235721.1		thiamine/thiamine pyrophosphate ABC transporter permease ThiP	thiP		Y75_RS00340	1611	536	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	74497	75480	-					thiB		Y75_RS00345	984		old_locus_tag=Y75_p0068
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	74497	75480	-	WP_001301364.1	WP_001301364.1		thiamine ABC transporter substrate binding subunit	thiB		Y75_RS00345	984	327	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	75644	77299	-					sgrR		Y75_RS00350	1656		old_locus_tag=Y75_p0069
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	75644	77299	-	WP_001138624.1	WP_001138624.1		DNA-binding transcriptional regulator SgrR	sgrR		Y75_RS00350	1656	551	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	77388	77519	+					sgrT		Y75_RS00355	132		
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	77388	77519	+	WP_001248770.1	WP_001248770.1		glucose uptake inhibitor SgrT	sgrT		Y75_RS00355	132	43	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	77621	78799	+					setA		Y75_RS00360	1179		old_locus_tag=Y75_p0070
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	77621	78799	+	WP_000637847.1	WP_000637847.1		sugar efflux transporter SetA	setA		Y75_RS00360	1179	392	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	78848	79453	-					leuD		Y75_RS00365	606		old_locus_tag=Y75_p0071
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	78848	79453	-	WP_000818228.1	WP_000818228.1		3-isopropylmalate dehydratase small subunit	leuD		Y75_RS00365	606	201	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	79464	80864	-					leuC		Y75_RS00370	1401		old_locus_tag=Y75_p0072
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	79464	80864	-	WP_001140652.1	WP_001140652.1		3-isopropylmalate dehydratase large subunit	leuC		Y75_RS00370	1401	466	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	80867	81958	-					leuB		Y75_RS00375	1092		old_locus_tag=Y75_p0073
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	80867	81958	-	WP_000042353.1	WP_000042353.1		3-isopropylmalate dehydrogenase	leuB		Y75_RS00375	1092	363	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	81958	83529	-					leuA		Y75_RS00380	1572		old_locus_tag=Y75_p0074
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	81958	83529	-	WP_000082850.1	WP_000082850.1		2-isopropylmalate synthase	leuA		Y75_RS00380	1572	523	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	83622	83708	-					leuL		Y75_RS00385	87		old_locus_tag=Y75_p0075
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	83622	83708	-	WP_001300467.1	WP_001300467.1		leu operon leader peptide	leuL		Y75_RS00385	87	28	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	84368	85312	+					leuO		Y75_RS00390	945		old_locus_tag=Y75_p0076
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	84368	85312	+	WP_001115472.1	WP_001115472.1		transcriptional regulator LeuO	leuO		Y75_RS00390	945	314	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	85467	85511	-							Y75_RS24710	45		
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	85467	85511	-	WP_120795371.1	WP_120795371.1		protein YabR			Y75_RS24710	45	14	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	85630	87354	+					ilvI		Y75_RS00395	1725		old_locus_tag=Y75_p0077
