gene	cogs
b0050	P
b1508	K
b0052	H
b0053	O
b2294	S
b2351	M
b2350	S
b0450	E
b0451	T
b0904	P
b0453	S
b0454	L
b0903	C
b1681	O
b0901	S
b0458	S
b0459	E
b0908	E
b0909	O
b1769	G
b2295	S
b4227	G
b2296	C
b0219	S
b1699	C
b3358	S
b1698	C
b3411	S
b2297	C
b2343	S
b2179	P
b3410	K
b2949	L
b3039	S
b3038	E
b3037	S
b3035	M
b3034	F
b1726	S
b3032	T
b3031	S
b3030	L
b2993	O
b3919	G
b3587	S
b3586	V
b2938	E
b3584	M
b3583	G
b3582	G
b3581	G
b3580	G
b0686	S
b3589	C
b3588	C
b0353	G
b1896	G
b2292	P
b1895	T
b3316	
b3917	P
b4222	S
b2580	L
b1892	K
b3091	G
b1891	K
b2293	S
b3090	S
b3103	S
b3102	O
b3101	S
b2851	
b3107	S
b3093	G
b3105	K
b3104	S
b3363	O
b3361	D
b3360	E
b3367	P
b3366	C
b3365	C
b3364	G
b3095	S
b3369	S
b3368	H
b3094	K
b3693	G
b3691	G
b3690	C
b3697	S
b3696	S
b3216	M
b3699	L
b3096	S
b2188	S
b2180	S
b2181	S
b2182	P
b2183	J
b2184	L
b2185	J
b2186	S
b2187	S
b3741	D
b2619	I
b3743	K
b3214	M
b3213	E
b3744	E
b3747	P
b3210	T
b2346	M
b3748	G
b2344	I
b2614	O
b2615	G
b2616	L
b2341	I
b2166	G
b2167	G
b2164	F
b2165	Q
b2162	F
b2163	K
b2160	G
b2161	F
b2168	G
b2169	G
b1888	T
b1889	N
b2982	L
b2983	M
b2984	S
b2985	S
b2986	S
b2987	P
b1880	N
b3960	E
b1882	T
b1883	T
b1884	T
b1885	P
b1886	P
b3966	P
b2100	G
b2101	K
b4194	G
b1762	S
b2504	S
b2505	M
b2506	S
b2507	F
b2500	F
b2501	P
b2502	P,F
b2503	T
b2104	H
b2508	F
b2509	L
b2105	K
b1080	N
b1081	U,N
b1082	N
b1083	N
b1084	J
b2106	P
b1086	J
b1087	D
b1088	S
b1089	
b2107	S
b3346	E
b2109	M
b4146	E
b4411	S
b3063	P
b1521	G
b2760	L
b2761	L
b2762	P
b2763	C
b2764	P
b2765	H
b2158	S
b2767	C
b2768	K
b2769	C
b1246	P,E
b4143	O
b4345	V
b4346	V
b4347	J
b1268	S
b1269	J
b4342	S
b1264	H,E
b1266	S
b1267	J
b4348	V
b4349	V
b1262	E
b1263	E
b4061	T
b4060	S
b0030	F
b1528	G
b4529	S
b4065	P
b0037	I,Q
b1642	K
b1867	Q
b0849	O
b1865	L
b1646	P
b0034	K
b1860	L
b1861	L
b0842	G
b0841	I
b0840	K
b0847	P
b0846	K
b0845	G
b0844	S
b4120	G
b4121	S
b4122	C
b4123	O
b4124	T
b0118	C
b3342	
b4127	S
b0115	C
b0114	C
b0117	S
b0116	C
b0111	V
b0110	M
b0113	K
b0112	E
b1468	C
b1469	P
b1462	S
b1463	Q
b2287	C
b1461	S
b1466	C
b1467	C
b1464	S
b1465	C
b0591	G
b0590	P
b0593	H
b0592	P
b0595	Q
b0594	Q
b0597	H
b0596	I,Q
b0599	C
b0598	T
b3211	S
b0601	K
b0600	E
b0603	K
b0602	S
b0605	O
b0604	O
b0607	T
b0606	O
b0608	C
b1443	P
b4216	S
b1691	G
b0029	I
b0028	O
b1514	G
b1515	G
b4018	K
b1513	P
b1511	G
b0021	
b4015	C
b4016	T
b4017	
b0025	H
b0024	S
b0027	U,M
b4013	E
b0187	E
b4094	P
b4217	S
b0571	T
b4096	P
b0933	P
b0932	E
b0931	H
b0534	S
b0937	S
b0936	P
b0935	C
b0934	P
b0533	S
b0939	O
b0938	S,G
b3247	J
b0531	O
b0869	M,G
b3712	H
b0530	S
b3241	V
b0335	I
b0334	S
b0337	F
b0336	F
b0331	G
b0330	K
b0333	C
b3711	K
b0339	P
b0338	K
b0927	Q
b1809	J
b0182	M
b3218	L
b1859	P
b0457	T
b3755	K
b0183	L
b0876	L
b3028	S
b3029	S
b1647	C
b3020	E
b3021	K
b3022	S
b3023	K
b3024	S
b3025	T
b3026	T
b3027	S
b1235	T
b0180	I
b4218	P
b0877	S
b3590	J
b1293	V
b3592	O
b3593	M
b3594	S
b3595	
b4144	S
b3597	V
b3598	S
b3599	G
b1324	O
b1234	T
b0181	M
b4219	O
b3114	C
b3115	C
b3116	E
b3117	E
b3110	E
b1349	L
b4210	S
b3113	J
b2305	S
b3118	K
b4033	P
b3983	
b3399	S
b3378	S
b3379	S
b3374	G
b3375	K
b3376	E
b3377	S
b3370	E
b3371	G
b4211	M,G
b3688	S
b3689	S
b3684	K
b3685	P
b3686	O
b3687	O
b3680	K
b3682	
b3683	
b0436	O
b1321	S
b3200	S
b3201	S
b2379	E
b3203	J
b3204	G
b3205	S
b3754	P
b1373	S
b3208	M
b3209	Q
b2371	C
b2370	T
b2377	S
b0777	H
b2375	S
b2374	C
b2153	H
b2152	S
b2151	K
b2150	G
b2157	K
b2156	E
b2155	P
b4464	S
b2405	K
b0771	C
b2159	L
b2406	G
b2400	J
b0770	P
b2979	C
b0773	S
b2975	C
b3973	H
b2977	S
b2976	C
b2971	M
b2970	U
b3974	H
b2972	U,O,N
b2081	O
b2080	S
b2082	K
b2085	S
b2086	I
b2089	
b2088	L
b2571	T
b2570	T
b2573	K
b2572	T
b2575	J
b2574	H
b2577	K
b2576	L
b2579	S
b2578	E
b3098	S
b2944	S
b1079	N
b1078	N
b3432	G
b1075	N
b1074	N
b1077	N
b1076	N
b1071	K
b1070	N
b1073	N
b1072	N
b1981	G
b1983	K
b2947	H
b1985	V
b1987	K
b1988	K
b2286	C
b2889	I
b2888	F
b2829	T
b0188	D
b2881	C
b2880	C
b2883	F
b2284	C
b2887	E
b2886	C
b2827	F
b2799	C
b2798	L
b2534	S
b2795	S
b2794	K
b2797	E
b2796	E
b2791	J
b2289	K
b2793	D
b2792	S
b4331	J
b1218	P
b4333	S
b2288	C
b4335	E
b4334	I
b4337	G
b4336	S
b1211	J
b1210	H
b1213	S
b1212	J
b1215	M
b1214	S
b1217	S
b1216	P
b1189	E
b1188	S
b2533	G
b1181	S
b1180	Q
b1183	K,T
b1182	D
b1185	O
b1184	L
b1187	K
b1186	P
b0854	E
b0855	E
b0856	P
b0857	P
b0850	S
b0851	C
b0852	J
b0853	S
b3943	S
b0858	S
b0859	J
b1853	K
b1852	G
b1851	E
b1850	G
b1857	P
b1856	M
b1855	M
b1854	G
b1677	M
b1676	G
b4201	L
b1674	C
b1673	C
b1672	S
b1671	C
b1670	C
b1325	M
b1456	M
b1327	S
b1326	E
b1453	E
b1320	K
b0108	U
b1450	K
b0106	U
b0107	U
b0104	F
b4484	P,U,T,N
b1329	E
b0103	H
b2047	M
b4480	K
b1695	I
b1694	I
b1697	C
b1696	K
b4249	S
b1690	G
b1693	E
b4245	F
b4244	F
b4246	F
b4241	K
b4240	G
b4243	J
b4242	P
b0582	L
b0583	Q
b0580	S
b0581	S
b0586	Q
b0587	P
b0584	P
b0585	P
b0588	P
b0589	P
b1877	
b0612	P
b0613	H
b0610	K
b0611	J
b0616	G
b0617	C
b0614	I,H
b0615	C
b1328	K
b1655	M
b0618	C
b0619	T
b1870	Q
b1873	C
b1656	P
b4069	I
b1790	K
b0038	C
b0039	I
b1526	K
b1525	C
b1524	E
b0032	F
b0033	F
b1529	U
b0031	E
b0036	I
b4064	S
b4067	E
b0035	L
b0703	M
b1879	N
b1878	N
b4205	K
b0928	E
b0929	M
b0924	D
b0925	S
b0926	S
b0707	S
b0920	S
b0921	Q
b0922	D
b0923	D
b3048	S
b1648	S
b0324	F
b0325	C
b0323	E
b0320	C
b0321	S
b1253	I
b0328	E
b0329	S
b4465	E
b3891	O
b4467	C
b4466	S
b4461	P
b4460	G
b4463	C
b4462	G
b4469	C
b4468	C
b3279	L
b1578	L
b0545	S
b3324	U
b3323	U
b1847	S
b3894	C
b3321	J
b3320	J
b4206	M
b3899	G
b3898	E
b2234	F
b2543	S
b1777	S
b2544	G
b4209	D
b0543	P
b2545	E
b2230	S
b2699	L
b2231	L
b2878	E
b3569	K
b3568	G
b0190	S
b3565	G
b3564	G
b3567	P
b3566	G
b3561	S
b3560	
b3563	S
b3562	S
b4504	S
b3161	E
b3160	C
b3163	S
b3162	L
b3165	J
b3164	J
b3167	J
b3166	J
b3169	K
b3168	J
b4503	L
b0687	L
b1499	K
b4501	K
b3309	J
b3308	J
b3301	J
b3300	U
b3303	
b3302	J
b3305	J
b3304	
b3307	J
b3306	
b1259	
b1840	P
b1498	P
b4329	S
b2364	K
b2365	E,G
b2366	E
b2367	P
b2360	S
b2361	S
b2362	S
b2368	V
b2369	T
b1258	S
b3769	E
b2251	F
b3765	O
b3764	S
b3415	E,G
b3946	G
b3945	C
b3416	G
b2148	G
b3942	P
b3413	S
b3940	E
b2416	G
b2417	G
b2414	E
b2147	C
b2140	J
b2413	P
b3949	G
b2411	L
b3785	M
b3784	M
b3787	M
b3786	M
b3781	
b3780	L
b3783	K
b2966	S
b2964	G
b2965	E
b2962	P
b2963	M
b2960	C
b2961	L
b2092	G
b2093	G
b2091	C
b2096	G
b2097	G
b2094	G
b2095	G
b2098	G
b2099	O
b4180	J
b2562	C
b2563	I
b2560	E
b2561	K
b2566	M
b2567	K
b2564	H
b2565	L
b4186	E
b2568	U
b2569	M
b1481	S
b1452	S
b4402	S
b1482	O
b1068	S
b1069	T
b1066	J
b1067	S
b1064	O
b1065	P
b1062	F
b1063	S
b1060	S
b1061	L
b1992	H
b1993	H
b1990	S
b1991	H
b1996	L
b1997	L
b1994	L
b4188	S
b2898	S
b0174	I
b2892	L
b1488	M
b2890	J
b2891	J
b2896	S
b2897	S
b2894	L
b2895	C
b2788	M
b2789	G
b2786	T
b2787	M
b2784	K,T
b2785	J
b2782	T
b2783	K
b2780	F
b2781	F
b4322	G
b0425	H
b1208	I
b4321	P
b4326	K
b4327	K
b4324	K
b0424	T
b1492	E
b1203	J
b1200	G
b1201	K
b1206	P
b1207	F
b1204	J
b1205	S
b1198	G
b1199	G
b1192	V
b1193	M
b1190	M
b1191	P
b1197	G
b1194	M
b0420	H
b0821	S
b0820	S
b0823	C
b0822	S
b0825	G
b0824	O
b0827	H
b0826	H
b0829	S
b0828	E
b0350	Q
b2914	G
b1668	S
b1669	S
b1848	S
b1849	F
b1844	L
b1661	M
b1662	H
b1663	V
b1664	
b1841	P
b1842	L
b1667	S
b1336	H
b1337	E
b0139	M
b1335	L
b1444	C
b1445	S
b1446	S
b1331	L
b1448	M
b1449	S
b0131	H
b0130	G
b0137	S
b0136	S
b1338	E
b1339	K
b1686	Q
b1687	C
b1684	S
b1685	S
b1682	O
b1683	O
b1680	E
b4259	L
b4256	K,S
b4257	S
b4254	E
b4255	S
b4252	G
b1688	S
b4251	K
b4003	T
b4002	P
b4001	S
b0629	K
b0628	H
b0627	U
b1501	C
b0624	D
b0623	
b0622	M
b0621	C
b0620	T
b0555	S
b0554	S
b0557	S
b0556	M
b0003	E
b0002	E
b0552	L
b4004	T
b0558	
b0009	H
b0008	G
b4078	S
b4079	C
b1538	E
b1539	L
b4072	C
b4073	P
b4070	P
b4071	C
b1530	K
b4077	C
b1532	P
b1533	E,G
b1509	
b0051	J
b0959	K
b0958	D
b0489	O
b0488	U,O
b0951	S
b0950	S
b0953	J
b0480	F
b0487	K
b0954	I
b0485	E
b0484	P
b0892	L
b0313	K
b0312	C
b0311	E
b0317	S
b0316	K
b0315	T
b0314	P
b0319	S
b0318	S
b3512	K
b4476	E,G
b4477	G
b4474	G
b3513	V
b4472	S
b4473	L
b4470	S
b4471	E
b3042	S
b4478	M
b4479	K
b3040	P
b3041	H
b2399	S
b0358	S
b0906	S
b2948	K
b0907	E
b0452	I
b0905	S
b2390	S
b0902	O
b0456	S
b3578	G
b3579	G
b3576	G
b3577	G
b3574	K
b3575	C
b3572	E
b3573	C
b3570	S
b3571	G
b3269	E
b3172	E
b3173	S
b3170	S
b3176	G
b3177	H
b3175	U
b3178	O
b3179	J
b1786	T
b2126	T
b3318	J
b3319	
b3312	J
b3313	J
b3310	J
b3311	
b2429	G
b3317	J
b3314	J
b3315	
b2311	H
b2310	E
b2313	S
b2312	F
b2315	H
b2314	S
b2317	P
b2316	I
b2319	E
b2318	J
b1828	P
b3778	L
b3779	P,F
b2407	F
b1047	M
b3770	E
b3771	E
b3772	E
b3773	K
b3774	E
b3775	O
b3777	
b3406	K
b3951	C
b3404	T
b2428	G
b3402	S
b3955	S
b3400	J
b3957	E
b3958	E
b3959	E
b2133	C
b2132	G
b2427	K
b2134	M
b2425	P
b3409	P
b3794	M
b2958	S
b1232	F
b3793	M
b3790	K
b3791	E
b2953	S
b2952	S
b2951	F
b2950	U,N
b2957	E
b2956	S
b2955	H
b2954	F
b1048	P
b4279	G
b1049	M
b2229	S
b2559	J,F
b2558	M
b2557	F
b2556	T
b2555	S
b2554	T
b2553	
b2552	C
b2223	I
b2222	I
b2045	M
b2044	M
b1059	E
b2046	M
b2041	M
b2040	M
b2043	M
b2042	M
b1053	G
b1051	S
b1050	S
b1057	C
b2048	G
b1055	J
b1054	M
b1256	M
b1251	T
b4185	S
b1319	M
b0658	P
b3715	S
b0659	F
b1315	E
b3381	E
b4319	S
b4318	S
b4317	M
b4316	O
b4315	U,N
b4314	S
b4313	K
b4312	L
b4311	G
b4310	S
b0650	O
b1792	S
b1523	S
b0651	F
b0832	P
b0833	T
b0830	E
b0831	P
b0836	T
b0837	G
b0834	T
b3647	L
b0838	O
b0839	M
b3985	J
b1839	S
b1838	T
b1831	T
b1830	M
b1833	S
b1832	T
b1835	J
b1834	S
b1837	S
b1836	S
b1303	K
b3947	G
b1301	C
b1300	C
b1307	O
b1306	K
b1305	S
b3414	O
b1309	G
b1308	P
b3417	G
b4269	C
b4268	G
b1794	T
b4263	S
b4262	S
b4119	G
b4260	E
b4267	E
b4266	S
b4265	E,G
b4264	K
b3941	E
b3412	I
b1237	K
b1944	N
b1947	N
b1946	N
b1941	U,N
b1940	N
b1943	N
b1942	N
b0630	H
b0631	S
b0632	M
b0633	M
b1949	
b1948	N
b0636	S
b1238	F
b0010	S
b0011	S
b0544	L
b4044	V
b0014	O
b0015	O
b0540	L
b0541	
b0018	S
b0019	P
b3638	L
b4049	J
b3418	K
b1549	S
b1548	L
b2410	G
b1541	S
b1540	K
b2143	F
b1545	L
b1544	K
b1547	S
b1546	S
b0494	E
b0495	Q
b0496	Q
b0497	M
b0490	S
b0491	S
b0483	K
b0493	S
b0124	G
b0125	F
b0126	P
b0949	S
b0120	E
b0121	E
b2532	J
b0123	Q
b0942	U,N
b0943	U,N
b0940	M
b0941	U,N
b0128	V
b0129	G
b0944	U,N
b0945	F
b0391	S
b2968	U
b1760	S
b4689	S
b3882	I
b0304	C
b0305	K
b0306	C
b0307	C
b0301	S
b0303	S
b0722	C
b2548	G
b3627	M
b2697	J
b0723	C
b3789	M
b1389	Q
b3788	M
b1583	S
b1223	P
b1588	E
b1224	C
b0727	C
b0397	L
b1226	C
b1227	C
b3950	G
b3880	G
b1660	P
b2131	E
b0728	C
b0729	C
b1700	C
b4181	S
b3881	G
b2513	S
b0482	S
b3099	S
b4050	S
b3549	L
b3548	N
b1291	V
b4051	C
b3543	P
b3542	P
b3541	P,E
b3540	E
b3547	G
b3546	S
b3097	S
b3544	E
b4053	M
b0577	M
b3623	M
b0576	E
b2549	S
b4056	S
b3149	G
b3148	L
b3147	L
b3146	G
b3145	S
b4057	S
b3143	S
b3142	S
b3141	G
b3140	G
b4058	L
b3620	M
b4539	S
b4538	
b2302	O
b2303	H
b2300	S
b2301	O
b2306	E
b2307	E
b2304	M
b4118	K
b2308	E
b2309	E
b1410	I
b3433	E
b2945	L
b3431	G
b3430	G
b3437	G
b2942	H
b2943	G
b1581	M
b2123	S
b2120	S
b3438	K
b2516	S
b2127	K
b2124	S
b2125	T
b4110	S
b1419	S
b4112	T
b1580	E
b3327	U
b3326	U
b3893	C
b3892	C
b3895	C
b3322	S
b3897	K
b2239	C
b2540	Q
b2237	T
b2542	C
b2235	F
b2232	H
b2233	U,M
b3329	U
b3328	U
b2056	M
b2057	M
b2054	M
b2055	M
b2052	M
b2053	M
b2050	M
b2051	L
b2514	J
b2058	M
b2059	M
b3654	F
b1582	S
b2848	S
b2434	S
b2435	M
b2436	H
b2437	K
b2430	V
b2431	P
b2432	S
b2433	S
b2438	Q,C
b2439	E
b4308	
b3820	Q
b4300	K
b4301	G
b4302	G
b4303	S
b4304	G
b4305	E
b4306	S
b4307	S
b2419	S
b2541	Q
b3821	M
b3751	G
b0809	E
b0808	M
b0807	S
b0806	M
b0805	P
b0804	S
b0803	T
b0802	S
b0801	C
b0800	M
b3626	M
b1046	I
b1829	O
b1040	K
b1041	M
b1042	G
b1043	O
b1822	Q
b1823	
b1820	S
b1821	P
b1826	S
b1827	K
b1825	S
b0797	L
b0796	K
b0795	U
b3625	M
b0793	V
b4271	
b4272	L
b4273	L
b1314	G
b3622	S,M
b1316	G
b1317	G
b4278	L
b1311	G
b0799	L
b0798	S
b2899	S
b2825	U
b3621	M
b3823	E
b1220	S
b1221	T
b1222	T
b1955	S
b1952	S
b1225	C
b1950	N
b2893	O
b3639	H
b1958	S
b1959	S
b0573	P
b0572	M
b4052	L
b0570	T
b4054	E
b4055	S
b0575	P
b0574	P
b2415	
b4059	L
b0579	S
b0578	C
b1558	
b1559	S
b1552	K
b1553	S
b1550	S
b1551	S
b1556	S
b1557	K
b1554	
b0977	O
b0976	K
b0975	O
b0974	C
b0973	C
b0972	C
b2412	D
b0970	S
b0979	C
b0978	C
b0151	P
b0150	P
b0153	P
b0152	P
b0155	P
b0154	H
b0157	S
b0156	O
b0159	F
b0158	P
b3826	S
b2646	S
b2547	P
b0379	S
b0378	S
b3827	E,G
b0373	L
b0372	
b0375	K
b1780	G
b0377	I
b0376	V
b0076	K
b0077	E
b4455	S
b4027	S
b4106	P
b4021	E
b4020	P
b1679	S
b4323	G
b4022	J
b4320	S
b0207	C
b1209	M
b3829	E
b0200	E
b0209	S
b0208	K
b3890	S
b1678	S
b2610	U
b3637	J
b1202	U,M
b4328	S
b3088	P
b3089	E
b2611	O
b3082	K
b3083	S
b3080	G
b3081	C
b3086	S
b3087	G
b3084	J
b1610	L
b3158	O
b3159	O
b4261	S
b3100	S
b3150	S
b3151	S
b3152	M,G
b3153	S
b3154	S
b3155	L
b3156	S
b3106	S
b1675	S
b2823	U,N
b4686	S
b0134	H
b3449	C
b3944	S
b2546	G
b2336	U,N
b2335	S
b2334	S
b2333	U
b2331	S
b2330	J
b3554	S
b2665	S
b3556	
b3557	L
b3550	K
b3551	C
b3552	M
b2916	K
b1195	S
b3558	L
b3559	J
b2687	T
b2930	G
b2685	V
b2684	K
b3428	G
b3429	G
b2937	E
b2936	O
b3424	S
b3425	P
b3426	C
b3421	L
b3422	K
b3423	K
b1292	V
b3444	
b1295	S
b2662	E
b2522	S
b1294	E
b1441	E
b1297	E
b2141	S
b1296	E
b3330	
b3331	
b2209	S
b3333	U
b3334	U
b3887	J
b3336	P
b3337	C
b3338	G
b3339	J
b2201	O
b2200	O
b2207	P
b2206	C
b2205	C
b2204	C
b1442	P
b2062	M
b2061	T
b2060	M
b2067	T
b2066	F
b2065	F
b2064	M
b0662	H,C
b2069	O
b2068	L
b2593	S
b2592	O
b2597	J
b0639	H
b2595	M
b2594	J
b2520	S
b2844	I
b2599	E
b2846	K
b2841	G
b2840	E
b2843	G
b2842	S
b3698	S
b1100	L
b2441	E
b2440	E
b2114	J
b2113	D
b2112	S
b2521	P
b2110	U
b2119	L
b2118	S
b2408	M
b1149	L
b3439	S
b1145	K
b1144	S
b1147	S
b1146	K
b1141	L
b1140	L
b0893	J
b2682	E
b1845	E
b3995	K
b1846	S
b1817	G
b0819	S
b1815	T
b1814	E
b1813	L
b1812	H,E
b1811	S
b1810	S
b0810	E
b0811	E
b0812	P
b0813	S
b0814	M
b0815	S
b1819	G
b0817	K
b1033	C
b1035	S
b1034	E
b1037	M
b1036	S
b1039	U
b1038	U
b1843	S
b0780	S
b0781	H
b0782	H
b0783	H
b0784	H
b0785	H
b4207	O
b0787	S
b1493	E
b0789	I
b1363	P
b1490	T
b4200	J
b1334	K
b1495	P
b1494	O
b1858	P
b3836	U
b0138	S
b1332	S
b4502	S
b1333	T
b2618	S
b3354	S
b1330	M
b3740	M
b1447	S
b3215	S,O
b3835	H
b0133	H
b1961	L
b3742	C
b1967	O
b1789	S
b0132	L
b1787	S
b3745	S
b1785	T
b1784	S
b1783	T
b1782	M
b1781	C
b3212	E
b1564	
b0568	M
b0569	S
b1560	S
b0564	K
b0565	M
b0566	
b2349	L
b0560	L
b3834	S
b1765	C
b3749	P
b1767	E
b1766	U,O
b1761	E
b0135	U
b1763	L
b2347	P
b4515	
b4514	L
b4517	S
b4516	
b4511	S
b1768	Q
b4512	S
b0960	S
b0961	S
b0962	L
b0963	G
b0964	S
b0965	S
b0966	O
b0967	S
b0968	C
b2342	I
b3833	H
b3992	H
b0142	H
b0143	J
b4193	G
b4192	S
b0146	L
b2340	T
b0144	J
b0145	
b4199	S
b4198	G
b0148	L
b2617	M
b4392	M
b4258	J
b2008	S
b3535	S
b3832	S
b3746	S
b3993	H
b0368	Q
b0369	H
b0363	M
b0360	L
b0361	L
b0366	P
b0367	P
b0364	S
b0365	P
b4428	S
b4203	J
b1722	M
b3831	F
b0708	L
b2673	O
b4074	O
b2647	U
b1689	S
b0752	P
b0709	E
b0217	S
b0214	L
b0215	L
b0212	C
b0213	Q
b0210	Q
b0211	M
b4676	S
b0634	D
b2980	K
b3144	M
b2869	K
b1714	J
b2868	F
b2250	S
b2988	E
b1382	S
b2603	S
b1881	T
b0102	S
b1167	S
b3963	K
b3962	C
b3965	J
b3964	S
b3967	M
b0946	D
b1887	T,N
b3183	C
b3182	M
b3181	K
b3180	J
b3187	H
b3186	
b3185	J
b3184	E,G
b3635	L
b3634	H
b3189	M
b3636	
b3631	M
b3630	M
b3633	M
b3632	M
b2499	F
b3085	S
b2328	M
b2329	E
b2320	H
b2321	N
b2322	G
b2323	I
b2324	E
b2325	S
b2326	S
b2327	S
b3521	K
b3520	K
b3523	G
b3522	S
b3525	T
b3524	M
b3527	O
b3526	G
b3529	T
b3528	C
b3459	S
b2923	S
b3989	S
b3988	K
b2926	G
b2927	G
b2696	
b2925	G
b2698	S
b3982	K
b3981	U
b3980	J
b3455	E
b3454	E
b3457	E
b3456	E
b0004	E
b3839	U
b0551	K
b0550	L
b2214	H
b2215	M
b2216	T
b2217	T
b2210	C
b2211	V
b2212	L
b2213	L
b1381	S
b2602	S
b2218	T
b2219	T
b3838	U
b2078	T
b2079	T
b2074	V
b2075	V
b2076	V
b2077	P
b2070	S
b2071	S
b2072	S
b2073	S
b3857	H
b3856	H
b3850	H
b2584	C
b2585	I
b2586	S
b2587	G
b3859	S
b2581	J
b2582	O
b2583	S
b1435	O
b1434	K
b3998	L
b3999	S
b2452	E
b2453	C
b2102	M
b2451	E
b2456	E
b2457	E
b2454	E
b2455	C
b2108	S
b1431	S
b2458	C
b2459	E
b4176	
b1433	Q
b1158	L
b1159	V
b1156	S
b1154	S
b1432	L
b1152	S
b1153	S
b1151	O
b1534	G
b1168	T
b0704	S
b1535	T
b3157	I
b1536	S
b1085	S
b1800	E
b1801	P
b1802	P
b1537	S
b1804	J
b1805	I,Q
b1806	M
b1807	O
b1808	L
b4076	O
b3380	G
b1531	K
b1022	M
b1023	G
b1020	T
b0705	L
b1026	
b1027	L
b1024	M
b1025	T
b1242	U
b4075	
b3033	S
b4212	K
b4213	F
b1378	C
b1379	O
b0779	L
b0778	H
b4214	P
b0775	H
b0774	H
b1370	L
b0776	H
b1376	T
b1377	M
b1374	L
b2718	O
b0706	L
b1164	S
b1451	P
b1798	E
b1799	K
b1978	S
b1974	C
b1791	G
b1976	S
b1793	S
b1970	F
b1795	S
b1972	P
b1797	P
b1570	K
b0518	C
b1576	S
b3238	S
b0511	H,F
b1579	L
b0513	F
b0512	F
b0515	S
b0514	G
b0517	C
b0516	E
b1776	E
b0688	G
b1774	E
b1775	G
b1772	G
b1773	G
b1770	K
b1771	C
b4506	J
b0680	J
b0683	P
b0682	S
b0685	S
b0684	C
b1778	O
b1779	G
b0999	S
b0998	O
b0995	T
b0994	G
b0997	C
b0996	C
b0990	K
b0993	T
b0992	C
b1484	P,E
b1485	P
b1486	P
b1487	E
b1480	J
b4187	I
b0179	M
b1483	P
b0177	M
b0176	M
b0175	I
b4189	S
b0173	I
b1489	T
b0171	F
b0170	J
b0357	S
b0356	C
b0355	S
b0354	S
b0421	H
b0352	Q
b0351	Q
b0422	L
b3727	P
b1650	C
b0429	C
b0428	O
b3726	P
b0195	S
b0194	J
b0197	P
b0196	M
b0191	J
b3725	P
b0193	S
b0192	P,M
b3724	P
b0199	P
b0198	P
b2666	S
b0952	S
b1707	T
b0955	O
b0712	E
b0486	E
b0957	M
b0956	S
b1706	S
b0223	S
b0222	G
b0221	I
b0220	S
b0227	M
b0226	L
b0225	S
b0224	S
b0228	L
b3896	S
b2660	C
b1705	
b4248	J
b2637	S
b2766	C
b4661	M
b1459	
b1657	G
b1702	G
b3198	M
b3199	M
b3628	M
b3629	S
b3194	Q
b3195	Q
b3624	M
b3197	M
b3190	K
b3191	S
b3192	Q
