Stressor	Tag	Stressor Class	Root
STREPTONIGRIN_SENSITIVE	other_antibiotic	Aminoglycoside	antibiotic
TOBRAMYCIN	traditional_antibiotic	Aminoglycoside	antibiotic
KASUGAMYCIN	traditional_antibiotic	Aminoglycoside	antibiotic
PUR_SENSITIVE	traditional_antibiotic	aminonucleoside	antibiotic
PUROMYCIN	traditional_antibiotic	aminonucleoside	antibiotic
TRIMETHOPRIM	traditional_antibiotic	Anisoles	antibiotic
Rifamycin	traditional_antibiotic	ansamycins	general antibiotics
ADRIAMYCIN	other_antibiotic	Anthracycline	antibiotic
DOXORUBICIN	other_antibiotic	Anthracycline	antibiotic
ANTIBIOTIC_SENSITIVE	traditional_antibiotic	Antibiotics	antibiotic
ANTIBIOTICS_SENSITIVE	traditional_antibiotic	Antibiotics	antibiotic
GLUFOSFOMYCIN	other_antibiotic	Antibiotics	antibiotic
ISONIAZID	other_antibiotic	Antibiotics	antibiotic
NEOMYCIN	traditional_antibiotic	Antibiotics	antibiotic
NIGERICIN	other_antibiotic	Antibiotics	antibiotic
PMS	other_antibiotic	Antibiotics	antibiotic
PYOCYANIN	other_antibiotic	Antibiotics	antibiotic
THIOLACTOMYCIN	other_antibiotic	Antibiotics	antibiotic
5-CHLORO-7-IODO-8-HYDROXYQUINOLINE	other_antibiotic	Antifungal agent	DNA replication inhibitors
7-DICHLORO-8-HYDROXYQUINALDINE	other_antibiotic	Antifungal agent	General antibiotic
8-HYDROXYQUINOLINE	other_antibiotic	Antifungal agent	General antibiotics
OXYCARBOXIN	other_antibiotic	Antifungal agent	Pesticide
METHOTREXATE	traditional_antibiotic	Antimetabolite	antibiotic
A22	other_antibiotic	Antimicrobial peptide	antibiotic
ANTIMICROBIAL PEPTIDE_SENSITIVE	other_antibiotic	Antimicrobial peptide	antibiotic
BACITRACIN	other_antibiotic	Antimicrobial peptide	antibiotic
BACITRACIN_SENSITIVE	other_antibiotic	Antimicrobial peptide	antibiotic
CECROPIN A	other_antibiotic	Antimicrobial peptide	antibiotic
CECROPIN B	other_antibiotic	Antimicrobial peptide	antibiotic
COLICIN E2	other_antibiotic	Antimicrobial peptide	antibiotic
COLISTIN	traditional_antibiotic	Antimicrobial peptide	antibiotic
INDOLICIDIN	other_antibiotic	Antimicrobial peptide	antibiotic
LEUCINE CONTAINING PEPTIDES_SENSITIVE	other_antibiotic	Antimicrobial peptide	antibiotic
MICROCIN J25	other_antibiotic	Antimicrobial peptide	antibiotic
P2 PEPTIDE_SENSITIVE	other_antibiotic	Antimicrobial peptide	antibiotic
POLYMIXIN B	other_antibiotic	Antimicrobial peptide	antibiotic
POLYMIXIN B_SENSITIVE	other_antibiotic	Antimicrobial peptide	antibiotic
BENZOATE_SENSITIVE	other_antibiotic	Antimicrobial preservative	Preservative
TUNICAMYCIN	other_antibiotic	Antinucleoside antibiotic	antibiotic
CLOTRIMAZOLE_SENSITIVE	other_antibiotic	Antifungal agent	antibiotic
GUANAZOLE	other_antibiotic	Antifungal agent	antibiotic
METRONIDAZOLE_SENSITIVE	other_antibiotic	Antifungal agent	antibiotic
TINIDAZOLE	other_antibiotic	Antifungal agent	antibiotic
CELL WALL INHIBITORS	traditional_antibiotic	Beta-lactam	antibiotic
MEMBRANE ANTAGONISTS	traditional_antibiotic	Beta-lactam	antibiotic
Moxalactam	traditional_antibiotic	Beta-lactam	antibiotic
Nafcillin	traditional_antibiotic	Beta-lactam	antibiotic
AMOXICILLIN	traditional_antibiotic	Beta-lactam	antibiotic
AMP_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
AMPICILLIN	traditional_antibiotic	Beta-lactam	antibiotic
AMPICILLIN_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
BETA-LACTAM	traditional_antibiotic	Beta-lactam	antibiotic
BETA-LACTAM ANTIBIOTICS_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
CARBENICILLIN	traditional_antibiotic	Beta-lactam	antibiotic
IMIPENEM_SENSITIVE	other_antibiotic	Beta-lactam	antibiotic
MECILLINAM	traditional_antibiotic	Beta-lactam	antibiotic
OXACILLIN_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
PENICILLIN G	traditional_antibiotic	Beta-lactam	antibiotic
PENICILLIN G_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
PIPERACILLIN	traditional_antibiotic	Beta-lactam	antibiotic
PIPERACILLIN_SENSITIVE	traditional_antibiotic	Beta-lactam	antibiotic
BICYCLOMYCIN	traditional_antibiotic	Bicyclomycin	antibiotic
BICYCLOMYCIN_SENSITIVE	traditional_antibiotic	Bicyclomycin	antibiotic
DMP 840	other	bis-naphthalimide	antibiotic
Phenethicillin	other_antibiotic	Cell wall disrupter	general antibiotics
ARYLAMIDE FOLDAMERS	other_antibiotic	Cell-wall disrupter	synthetic antibiotics
PMX	other_antibiotic	Cell-wall disrupter	synthetic antibiotics
CEFACLOR	traditional_antibiotic	Cephalosporin	General antibiotic
CEFAMANDOLE	traditional_antibiotic	Cephalosporin	General antibiotic
Cefazolin	traditional_antibiotic	Cephalosporin	General antibiotic
CEFEPIME_SENSITIVE	traditional_antibiotic	Cephalosporin	General antibiotic
CEFIXIME	traditional_antibiotic	Cephalosporin	General antibiotic
CEFMETAZOLE	traditional_antibiotic	Cephalosporin	General antibiotic
Cefoperazone	traditional_antibiotic	Cephalosporin	General antibiotic
CEFOXITIN	traditional_antibiotic	Cephalosporin	General antibiotic
CEFOXITIN_SENSITIVE	traditional_antibiotic	Cephalosporin	General antibiotic
CEFOXITIN_SENSITIVE IMIPENEM_SENSITIVE	traditional_antibiotic	Cephalosporin	General antibiotic
CEFSULODIN	traditional_antibiotic	Cephalosporin	General antibiotic
CEFTAZIDIME	traditional_antibiotic	Cephalosporin	General antibiotic
CEFTRIAXONE	traditional_antibiotic	Cephalosporin	General antibiotic
CEFUROXIME	traditional_antibiotic	Cephalosporin	General antibiotic
CEPHALORIDINE_SENSITIVE	traditional_antibiotic	Cephalosporin	General antibiotic
CEPHALOTHIN	traditional_antibiotic	Cephalosporin	General antibiotic
VIOMYCIN	other_antibiotic	Antimicrobial peptide	antibiotic
MONOCHLORAMINE	detergents	Disinfectant	chloramine
CISPLATIN	other_antibiotic	DNA cross-linking agent	antibiotic
CERULENIN	other_antibiotic	Fatty acid biosynthesis inhibitor	antibiotic
TRICLOSAN	traditional_antibiotic	Fatty acid biosynthesis inhibitor	antibiotic
CIPROFLAXIN	traditional_antibiotic	Fluoroquinolone	antibiotic
CIPROFLAXIN_SENSITIVE	traditional_antibiotic	Fluoroquinolone	antibiotic
CIPROFLOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
ENOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
FLUOROQUINOLONE	traditional_antibiotic	Fluoroquinolone	antibiotic
LEVOFLOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
LOMEFLOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
NAL_SENSITIVE	traditional_antibiotic	Fluoroquinolone	antibiotic
NALIDIXIC ACID	traditional_antibiotic	Fluoroquinolone	antibiotic
NALIDIXIC ACID_SENSITIVE	traditional_antibiotic	Fluoroquinolone	antibiotic
NORFLAXIN_SENSITIVE	traditional_antibiotic	Fluoroquinolone	antibiotic
NORFLOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
NORFLOXACIN_SENSITIVE	traditional_antibiotic	Fluoroquinolone	antibiotic
OFLOXACIN	traditional_antibiotic	Fluoroquinolone	antibiotic
Patulin	other	fungal toxin	general antibiotic
NITROFURAZONE	traditional_antibiotic	Furan antibiotic	General antibiotics
FUS_SENSITIVE	traditional_antibiotic	fusidanes	antibiotic
Fusaric acid	traditional_antibiotic	fusidanes	general antibiotic
FUSIDIC ACID	traditional_antibiotic	fusidanes	antibiotic
SODIUM AZIDE	detergents	General Biocide	antibiotic
PHLEOMYCIN_SENSITIVE	other_antibiotic	Glycopeptide antibiotic	antibiotic
VANCOMYCIN	traditional_antibiotic	Glycopeptide antibiotic	antibiotic
VANCOMYCIN_SENSITIVE	traditional_antibiotic	Glycopeptide antibiotic	antibiotic
ETOPOSIDE	other_antibiotic	Glycoside	antibiotic
HARMANE	other_antibiotic	heterocyclic amine antibiotic	general antibiotic
CLINDAMYCIN	traditional_antibiotic	lincosamide	antibiotic
LINCOMYCIN	traditional_antibiotic	lincosamide	antibiotic
LINCOMYCIN_SENSITIVE	traditional_antibiotic	lincosamide	antibiotic
Apramycin	traditional_antibiotic	Macrolides	general antibiotic
JOSAMYCIN	traditional_antibiotic	Macrolides	general antibiotic
TROLEANDOMYCIN	traditional_antibiotic	Macrolides	General antibiotics
TYLOSIN	traditional_antibiotic	Macrolides	general antibiotic
OLEANDOMYCIN	traditional_antibiotic	Macrolides	general antibiotic
AZITHROMYCIN	traditional_antibiotic	Macrolides	antibiotic
CLARYTHROMYCIN	traditional_antibiotic	Macrolides	antibiotic
DOXYCYCLINE	traditional_antibiotic	Macrolides	antibiotic
ERM_SENSITIVE	traditional_antibiotic	Macrolides	antibiotic
ERYTHROMYCIN	traditional_antibiotic	Macrolides	antibiotic
ERYTHROMYCIN_SENSITIVE	traditional_antibiotic	Macrolides	antibiotic
MACROLIDE	traditional_antibiotic	Macrolides	general antibiotics
SPIRAMYCIN	traditional_antibiotic	Macrolides	antibiotic
SODIUM SALICYLATE	other	MarR inducer	general plant metabolite
4_5-DIHYDROXY-2-CYCLOPENTEN-1-ONE	other	Membrane disrupter	general antibiotic
DHCP	other	Membrane disrupter	general antibiotic
AZETREONAM_SENSITIVE	other_antibiotic	Monobactams	antibiotic
AZTREONAM	other_antibiotic	Monobactams	antibiotic
NITROFURANTOIN	other_antibiotic	Monobactams	antibiotic
FURALTADONE	other_antibiotic	nitrofuran	general antibiotic
BLEOMYCIN	other_antibiotic	Non-ribosomal peptide antibiotic	antibiotic
BACIMETHRIN	other_antibiotic	Nucleotide analog	antitumor
PLUMBAGIN_SENSITIVE	other	Organic dyes	antibiotic
GLYPHOSPHATE	other	Organophosphorous compound	pesticide
5_7-Dichloro-8-hydroxyquinaldine	other	Other antibiotic	General antibiotics
Ornidazole	oxidative	Oxidative Stress	general antibiotic
FOSFOMYCIN	other_antibiotic	phosphonic	antibiotic
TIAMULIN	other_antibiotic	Pleuromutilin	antibiotic
CAPREOMYCIN	other_antibiotic	Polypeptide antibiotic	General antibiotics
Sodium nitrite	other_antibiotic	preservative	general antibiotic
PYRAZINAMIDE_SENSITIVE	other_antibiotic	PYRAZINAMIDE	antibiotic
CHIR-090	other	Research chemical	antibiotic
CAM_SENSITIVE	traditional_antibiotic	Ribosomal targeting	antibiotic
CHLORAMPHENICOL	traditional_antibiotic	Ribosomal targeting	antibiotic
CHLORAMPHENICOL_SENSITIVE	traditional_antibiotic	Ribosomal targeting	antibiotic
FLORFENICOL_SENSITIVE	traditional_antibiotic	Ribosomal targeting	antibiotic
RIFAMPICIN	traditional_antibiotic	Ribosomal targeting	antibiotic
RIFAMPICIN_SENSITIVE	traditional_antibiotic	Ribosomal targeting	antibiotic
Sulfachloropyridazine	traditional_antibiotic	Sulfa drug	antibiotic
Sulfamethazine	traditional_antibiotic	Sulfa drug	antibiotic
SULFANILAMIDE	traditional_antibiotic	Sulfa drug	antibiotic
SULFATHIAZOLE	traditional_antibiotic	Sulfa drug	antibiotic
Sulfisoxazole	traditional_antibiotic	Sulfa drug	antibiotic
SULFA DRUG	traditional_antibiotic	Sulfa drug	antibiotic
SULFA DRUG_SENSITIVE	traditional_antibiotic	Sulfa drug	antibiotic
SULFADIAZINE	traditional_antibiotic	Sulfa drug	antibiotic
SULFAMETHAXOZOLE	traditional_antibiotic	Sulfa drug	antibiotic
SULFAMETHOXAZOL	traditional_antibiotic	Sulfa drug	antibiotic
SULFAMETHOXAZOLE_SENSITIVE	traditional_antibiotic	Sulfa drug	antibiotic
SULFAMONOMETHOXINE	traditional_antibiotic	Sulfa drug	antibiotic
THYMOL	solvents_biofuels	Terpene	Solvents
THYMOL_SENSITIVE	solvents_biofuels	Terpene	Solvents
MINOCYCLINE	traditional_antibiotic	Tetracycline	antibiotic
OXYTETRACYCLINE	traditional_antibiotic	Tetracycline	antibiotic
Oxytetracycline	traditional_antibiotic	Tetracycline	general antibiotic
TETRACYCLINE	traditional_antibiotic	Tetracycline	antibiotic
TETRACYCLINE_SENSITIVE	traditional_antibiotic	Tetracycline	antibiotic
Penimepicycline	traditional_antibiotic	Tetracycline	general antibiotic
Rolitetracycline	traditional_antibiotic	Tetracycline	general antibiotic
2_4-DIAMINO-6_7-DIISOPROPYL-PTERIDINE	other_antibiotic	Unknown antibiotic	general antibiotic
3_5-DINITROBENZENE	other_antibiotic	Unknown antibiotic	general antibiotic
BLASTICIDIN	other_antibiotic	Unknown antibiotic	general antibiotic
CHELERYTHRINE	other_antibiotic	Unknown antibiotic	general antibiotic
LIDOCANE	other	Unknown antibiotic	general antibiotic
5-NITRO-2-FURALDEHYDE SEMICARBAZONE	other_antibiotic	Unusual antibiotics	general antibiotic
BILE	detergents	Antibiotics	Detergent
CHOLATE	detergents	Antibiotics	Detergent
TAUROCHOLATE	detergents	Antibiotics	Detergent
GUANIDINE HYDROCHLORIDE	detergents	Cell wall disrupter	denaturing detergents
Sanguinarine	detergents	Quaternary Detergent	Detergent
NIAPROOF	detergents	Quaternary Detergent	Detergent
BENZALKONIUM	detergents	Quaternary Detergent	Detergent
BENZALKONIUM CHLORIDE_SENSITIVE	detergents	Quaternary Detergent	Detergent
BENZETHONIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
BERBERINE	detergents	Quaternary Detergent	Detergent
CETRIMIDE	detergents	Quaternary Detergent	Detergent
CETYLDIMETHYLETHYL AMMONIUM BROMIDE	detergents	Quaternary Detergent	Detergent
CETYLPYRIDINIUM BROMIDE	detergents	Quaternary Detergent	Detergent
CETYLPYRIDINIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
CETYLTRIMETHYL AMMONIUM BROMIDE_SENSITIVE	detergents	Quaternary Detergent	Detergent
CPC	detergents	Quaternary Detergent	Detergent
Dodecyltrimethyl ammonium bromide	detergents	Quaternary Detergent	Detergent
METHYLTRIOCTYLAMMONIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
TETRAPHENYLPHOSPHONIUM BROMIDE	detergents	Quaternary Detergent	Detergent
SDS	detergents	Surfactants	Detergent
SDS_SENSITIVE	detergents	Surfactants	Detergent
TRITON X	detergents	Surfactants	Detergent
FUFURAL	furans	Furans	Furan
FURFURAL	furans	Furans	Furan
HYDROLYSATE	furans	"Furans,short chain fatty acids,pH perturbation"	Environmental condition
CINNAMALDEHYDE	furans	Phenolic acid	cinnamic acid derivative
DIBUCAINE	general_antimetabolite	Anesthetic	Chemical
PROCAINE	general_antimetabolite	Anesthetic	Chemical
CHLOROPROMAZINE	general_antimetabolite	Antimetabolite	Chemical
P-HYDROXYBENZOIC ACID_SENSITIVE	general_antimetabolite	Antimicrobial preservative	Preservative
VERAPAMIL	general_antimetabolite	Calcium channel blocker	Chemical
EPINEPHRINE	general_antimetabolite	Hormone	Chemical
NOREPINEPHRINE	general_antimetabolite	Hormone	Chemical
RADICICOL	general_antimetabolite	HSP90 inihibitor	Chemical
GLYOXYLATE	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
METHYLGLYOXAL	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
METHYLGLYOXAL_SENSITIVE	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
6-Mercaptopurine	general_antimetabolite	Nucleotide biosynthesis inhibitor	Nucleotide analog
RHODAMINE 6G	general_antimetabolite	Organic dyes	Dye
6-HYDROXY-2-NAPHTHOIC ACID_SENSITIVE	general_antimetabolite	Research chemical	Chemical
ALPHA-METHYL-D-GALACTOSIDE	general_growth	Alternative carbon source	Carbon sources
BETA-D-ALLOSE	general_growth	Alternative carbon source	Carbon sources
D-FRUCTOSE	general_growth	Alternative carbon source	Carbon sources
D-GLUCURONATE	general_growth	Alternative carbon source	Carbon sources
D-MANNITOL	general_growth	Alternative carbon source	Carbon sources
D-MELIBIOSE	general_growth	Alternative carbon source	Carbon sources
GLUCONATE CONSUMPTION	general_growth	Alternative carbon source	Carbon sources
LACTATE CONSUMPTION	general_growth	Alternative carbon source	Carbon sources
MELIBIONIC ACID	general_growth	Alternative carbon source	Carbon sources
ALANINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Alanine-Asparagine	general_growth	Amino acid carbon source	Carbon sources
Alanine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Alanine-Serine	general_growth	Amino acid carbon source	Carbon sources
ALANINE-SERINE	general_growth	Amino acid carbon source	Carbon sources
Arginine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Lysine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
ASPARAGINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
ASPARTATE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Aspartate Utilization	general_growth	Amino acid carbon source	Carbon sources
Aspartate-Leucine	general_growth	Amino acid carbon source	Carbon sources
Aspartate-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
D-ALA-GLY-GLY	general_growth	Amino acid carbon source	Carbon sources
D-ALANINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
D-Alanine-Glycine	general_growth	Amino acid carbon source	Carbon sources
D-LYSINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Glutamate-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
GLYCINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Glycine-D-alanine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Glycine-D-Leucine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Glycine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Phenylalanine-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
GLYCYL-L-ASPARTATE	general_growth	Amino acid carbon source	Carbon sources
Histidine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Isoleucine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
L-arginine	general_growth	Amino acid carbon source	Carbon sources
L-ASPARAGINE	general_growth	Amino acid carbon source	Carbon sources
L-ASPARTATE Utilization	general_growth	Amino acid carbon source	Carbon sources
Leucine-Alanine	general_growth	Amino acid carbon source	Carbon sources
Leucine-Glutamate	general_growth	Amino acid carbon source	Carbon sources
Leucine-Glycine	general_growth	Amino acid carbon source	Carbon sources
Leucine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
L-LYSINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Lysine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Lysine-serine	general_growth	Amino acid carbon source	Carbon sources
Methionine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Methionine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Phenylalanine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
POLY-L-LYSINE	general_growth	Amino acid carbon source	Carbon sources
Proline-Leucine	general_growth	Amino acid carbon source	Carbon sources
Serine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Leucine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
Tyrosine Utilization	general_growth	Amino acid carbon source	Carbon sources
TYROSINE-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Tyrosine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
THEOPHYLLINE	general_growth	Caffeine-like compound	Chemical
1-2-PROPANEDIOL	general_growth	Diol	Diol
Ammonia Chloride	general_growth	Growth condition	Environmental condition
Anaerobic	general_growth	Growth condition	Environmental condition
FREEZE THAW CYCLES	general_growth	Growth condition	Environmental condition
GLUCOSAMINE 	general_growth	Growth condition	Sugar
GLYCEROL CONSUMPTION	general_growth	Growth condition	Environmental condition
GROWTH	general_growth	Growth condition	Environmental condition
GROWTH DEFECT SUPPRESSOR	general_growth	Growth condition	Environmental condition
LIFESPAN EXTENSION_SENSITIVE	general_growth	Growth condition	Environmental condition
LOW SHEAR MODELED MICROGRAVITY	general_growth	Growth condition	Environmental condition
LURIA-BERTANI BROTH_SENSITIVE	general_growth	Growth condition	Environmental condition
MALTOSE 	general_growth	Growth condition	Sugar
MOPS_SENSITIVE	general_growth	Growth condition	Environmental condition
N-ACETYLGLUCOSAMINE 	general_growth	Growth condition	Sugar
ALHPA-KETOGLUTARATE	general_growth	Metabolic intermediate	Metabolic intermediate
ALPHA-HYDROXYBUTYRATE	general_growth	Metabolic intermediate	Metabolic intermediate
ALPHA-KETOBUTYRATE	general_growth	Metabolic intermediate	Metabolic intermediate
BETA-HYDROXYPYRUVATE	general_growth	Metabolic intermediate	Metabolic intermediate
D-FRUCTOSE 6-PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
D-GLUCOSE 6-PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
DL-ALPHA-GLYCEROL PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
GLYOXAL	general_growth	Metabolic intermediate	Metabolic intermediate
GUANOSINE	general_growth	Metabolic intermediate	Metabolic intermediate
L-CYSTEATE	general_growth	Metabolic intermediate	Metabolic intermediate
L-ORNITHINE	general_growth	Metabolic intermediate	Metabolic intermediate
N-ACETYL-D-GLUCOSAMINE	general_growth	Metabolic intermediate	Metabolic intermediate
RICH MEDIUM	general_growth	Rich media adaptation	Media types
FUCOSE	general_growth	Sugar	Sugar
FUCOSE_SENSITIVE	general_growth	Sugar	Sugar
GLUCOSE_SENSITIVE	general_growth	Sugar	Sugar
ALKALINE AMINO ACID UTILIZATION	general_growth	Use of Amino acids under unusual conditions	Media types
HIGH PRESSURE	high_gravity	Growth condition	Environmental condition
NA2CO3	high_ph	pH perturbation	Environmental condition
SODIUM BICARBONATE	high_ph	pH perturbation	Environmental condition
ALKALINE	high_ph	pH perturbation	Environmental condition
ALKALINE_SENSITIVE	high_ph	pH perturbation	Environmental condition
HEAT_SENSITIVE	high_temperature	Thermal perturbation	Environmental condition
HIGH TEMPERATURE	high_temperature	Thermal perturbation	Environmental condition
HIGH TEMPERATURE_SENSITIVE	high_temperature	Thermal perturbation	Environmental condition
THERMAL	high_temperature	Thermal perturbation	Environmental condition
ACID	low_ph	pH perturbation	Environmental condition
ACID STRESS	low_ph	pH perturbation	Environmental condition
ACID_SENSITIVE	low_ph	pH perturbation	Environmental condition
PH SPECTRUM	low_pH	pH Range tolerance	Environmental condition
COLD_SENSITIVE	low_temperature	Thermal perturbation	Environmental condition
LOW TEMPERATURE_SENSITIVE	low_temperature	Thermal perturbation	Environmental condition
SODIUM ARSENITE	metal_ions	Arsenic drug	antibiotic
ANTIMONY CHLORIDE	metal_ions	Metal salt antibiotic	general antibiotic
EDTA_SENSITIVE	metal_ions	Metal Chelators	Dentate compound
EGCG	metal_ions	Metal Chelators	Dentate compound
EGTA	metal_ions	Metal Chelators	Dentate compound
ETDA_SENSITIVE	metal_ions	Metal Chelators	Dentate compound
1_10-Phenanthroline	metal_ions	Chelating agent	Metal ion scavengers
Potassium chromate	metal_ions	Chromates	Metals
Sodium dichromate	metal_ions	Chromates	Metals
TOXIC IONS	metal_ions	Generic metal stress	Metals
MAGNESIUM SULFATE	metal_ions	Metal ion toxicity	Metals
MANGANESE CHLORIDE	metal_ions	Metal ion toxicity	Metals
Sodium Selenite	metal_ions	Metal ion toxicity	Metals
SODIUM TUNGSTATE	metal_ions	Metal ion toxicity	Metals
ANTIMONITE_SENSITIVE	metal_ions	Metal Ions	Metals
ARSENITE_SENSITIVE	metal_ions	Metal Ions	Metals
CADMIUM	metal_ions	Metal Ions	Metals
CADMIUM_SENSITIVE	metal_ions	Metal Ions	Metals
CHROMIUM_SENSITIVE	metal_ions	Metal Ions	Metals
COBALT	metal_ions	Metal Ions	Metals
COBALT CHLORIDE	metal_ions	Metal Ions	Metals
COBALT CHLORIDE_SENSITIVE	metal_ions	Metal Ions	Metals
COBALT_SENSITIVE	metal_ions	Metal Ions	Metals
COCL2	metal_ions	Metal Ions	Metals
