Stressor	Tag	Stressor Class	Root
KASUGAMYCIN	antichemo	Aminoglycoside	antibiotic
PUR_SENSITIVE	antichemo	aminonucleoside	antibiotic
PUROMYCIN	antichemo	aminonucleoside	antibiotic
TRIMETHOPRIM	antichemo	Anisoles	antibiotic
Rifamycin	antichemo	ansamycins	general antibiotics
ADRIAMYCIN	antichemo	Anthracycline	antibiotic
DOXORUBICIN	antichemo	Anthracycline	antibiotic
ANTIBIOTIC_SENSITIVE	antichemo	Antibiotics	antibiotic
ANTIBIOTICS_SENSITIVE	antichemo	Antibiotics	antibiotic
GLUFOSFOMYCIN	antichemo	Antibiotics	antibiotic
ISONIAZID	antichemo	Antibiotics	antibiotic
NEOMYCIN	antichemo	Antibiotics	antibiotic
NIGERICIN	antichemo	Antibiotics	antibiotic
PMS	antichemo	Antibiotics	antibiotic
PYOCYANIN	antichemo	Antibiotics	antibiotic
THIOLACTOMYCIN	antichemo	Antibiotics	antibiotic
5-CHLORO-7-IODO-8-HYDROXYQUINOLINE	antichemo	Antifungal agent	DNA replication inhibitors
7-DICHLORO-8-HYDROXYQUINALDINE	antichemo	Antifungal agent	General antibiotic
8-HYDROXYQUINOLINE	antichemo	Antifungal agent	General antibiotics
OXYCARBOXIN	antichemo	Antifungal agent	Pesticide
METHOTREXATE	antichemo	Antimetabolite	antibiotic
A22	antichemo	Antimicrobial peptide	antibiotic
ANTIMICROBIAL PEPTIDE_SENSITIVE	antichemo	Antimicrobial peptide	antibiotic
BACITRACIN	antichemo	Antimicrobial peptide	antibiotic
BACITRACIN_SENSITIVE	antichemo	Antimicrobial peptide	antibiotic
CECROPIN A	antichemo	Antimicrobial peptide	antibiotic
CECROPIN B	antichemo	Antimicrobial peptide	antibiotic
COLICIN E2	antichemo	Antimicrobial peptide	antibiotic
COLISTIN	antichemo	Antimicrobial peptide	antibiotic
INDOLICIDIN	antichemo	Antimicrobial peptide	antibiotic
LEUCINE CONTAINING PEPTIDES_SENSITIVE	antichemo	Antimicrobial peptide	antibiotic
MICROCIN J25	antichemo	Antimicrobial peptide	antibiotic
P2 PEPTIDE_SENSITIVE	antichemo	Antimicrobial peptide	antibiotic
POLYMIXIN B	antichemo	Antimicrobial peptide	antibiotic
POLYMIXIN B_SENSITIVE	antichemo	Antimicrobial peptide	antibiotic
BENZOATE_SENSITIVE	antichemo	Antimicrobial preservative	Preservative
TUNICAMYCIN	antichemo	Antinucleoside antibiotic	antibiotic
CLOTRIMAZOLE_SENSITIVE	antichemo	Antifungal agent	antibiotic
GUANAZOLE	antichemo	Antifungal agent	antibiotic
METRONIDAZOLE_SENSITIVE	antichemo	Antifungal agent	antibiotic
TINIDAZOLE	antichemo	Antifungal agent	antibiotic
CELL WALL INHIBITORS	antichemo	Beta-lactam	antibiotic
MEMBRANE ANTAGONISTS	antichemo	Beta-lactam	antibiotic
Moxalactam	antichemo	Beta-lactam	antibiotic
Nafcillin	antichemo	Beta-lactam	antibiotic
AMOXICILLIN	antichemo	Beta-lactam	antibiotic
AMP_SENSITIVE	antichemo	Beta-lactam	antibiotic
AMPICILLIN	antichemo	Beta-lactam	antibiotic
AMPICILLIN_SENSITIVE	antichemo	Beta-lactam	antibiotic
BETA-LACTAM	antichemo	Beta-lactam	antibiotic
BETA-LACTAM ANTIBIOTICS_SENSITIVE	antichemo	Beta-lactam	antibiotic
CARBENICILLIN	antichemo	Beta-lactam	antibiotic
IMIPENEM_SENSITIVE	antichemo	Beta-lactam	antibiotic
MECILLINAM	antichemo	Beta-lactam	antibiotic
OXACILLIN_SENSITIVE	antichemo	Beta-lactam	antibiotic
PENICILLIN G	antichemo	Beta-lactam	antibiotic
PENICILLIN G_SENSITIVE	antichemo	Beta-lactam	antibiotic
PIPERACILLIN	antichemo	Beta-lactam	antibiotic
PIPERACILLIN_SENSITIVE	antichemo	Beta-lactam	antibiotic
BICYCLOMYCIN	antichemo	Bicyclomycin	antibiotic
BICYCLOMYCIN_SENSITIVE	antichemo	Bicyclomycin	antibiotic
DMP 840	other	bis-naphthalimide	antibiotic
Phenethicillin	antichemo	Cell wall disrupter	general antibiotics
ARYLAMIDE FOLDAMERS	antichemo	Cell-wall disrupter	synthetic antibiotics
PMX	antichemo	Cell-wall disrupter	synthetic antibiotics
CEFACLOR	antichemo	Cephalosporin	General antibiotic
CEFAMANDOLE	antichemo	Cephalosporin	General antibiotic
Cefazolin	antichemo	Cephalosporin	General antibiotic
CEFEPIME_SENSITIVE	antichemo	Cephalosporin	General antibiotic
CEFIXIME	antichemo	Cephalosporin	General antibiotic
CEFMETAZOLE	antichemo	Cephalosporin	General antibiotic
Cefoperazone	antichemo	Cephalosporin	General antibiotic
CEFOXITIN	antichemo	Cephalosporin	General antibiotic
CEFOXITIN_SENSITIVE	antichemo	Cephalosporin	General antibiotic
CEFOXITIN_SENSITIVE IMIPENEM_SENSITIVE	antichemo	Cephalosporin	General antibiotic
CEFSULODIN	antichemo	Cephalosporin	General antibiotic
CEFTAZIDIME	antichemo	Cephalosporin	General antibiotic
CEFTRIAXONE	antichemo	Cephalosporin	General antibiotic
CEFUROXIME	antichemo	Cephalosporin	General antibiotic
CEPHALORIDINE_SENSITIVE	antichemo	Cephalosporin	General antibiotic
CEPHALOTHIN	antichemo	Cephalosporin	General antibiotic
VIOMYCIN	antichemo	Antimicrobial peptide	antibiotic
MONOCHLORAMINE	detergents	Disinfectant	chloramine
CISPLATIN	antichemo	DNA cross-linking agent	antibiotic
CERULENIN	antichemo	Fatty acid biosynthesis inhibitor	antibiotic
TRICLOSAN	antichemo	Fatty acid biosynthesis inhibitor	antibiotic
CIPROFLAXIN	antichemo	Fluoroquinolone	antibiotic
CIPROFLAXIN_SENSITIVE	antichemo	Fluoroquinolone	antibiotic
CIPROFLOXACIN	antichemo	Fluoroquinolone	antibiotic
ENOXACIN	antichemo	Fluoroquinolone	antibiotic
FLUOROQUINOLONE	antichemo	Fluoroquinolone	antibiotic
LEVOFLOXACIN	antichemo	Fluoroquinolone	antibiotic
LOMEFLOXACIN	antichemo	Fluoroquinolone	antibiotic
NAL_SENSITIVE	antichemo	Fluoroquinolone	antibiotic
NALIDIXIC ACID	antichemo	Fluoroquinolone	antibiotic
NALIDIXIC ACID_SENSITIVE	antichemo	Fluoroquinolone	antibiotic
NORFLAXIN_SENSITIVE	antichemo	Fluoroquinolone	antibiotic
NORFLOXACIN	antichemo	Fluoroquinolone	antibiotic
NORFLOXACIN_SENSITIVE	antichemo	Fluoroquinolone	antibiotic
OFLOXACIN	antichemo	Fluoroquinolone	antibiotic
Patulin	other	fungal toxin	general antibiotic
NITROFURAZONE	antichemo	Furan antibiotic	General antibiotics
FUS_SENSITIVE	antichemo	fusidanes	antibiotic
Fusaric acid	antichemo	fusidanes	general antibiotic
FUSIDIC ACID	antichemo	fusidanes	antibiotic
SODIUM AZIDE	detergents	General Biocide	antibiotic
PHLEOMYCIN_SENSITIVE	antichemo	Glycopeptide antibiotic	antibiotic
VANCOMYCIN	antichemo	Glycopeptide antibiotic	antibiotic
VANCOMYCIN_SENSITIVE	antichemo	Glycopeptide antibiotic	antibiotic
ETOPOSIDE	antichemo	Glycoside	antibiotic
HARMANE	antichemo	heterocyclic amine antibiotic	general antibiotic
CLINDAMYCIN	antichemo	lincosamide	antibiotic
LINCOMYCIN	antichemo	lincosamide	antibiotic
LINCOMYCIN_SENSITIVE	antichemo	lincosamide	antibiotic
Apramycin	antichemo	Macrolides	general antibiotic
JOSAMYCIN	antichemo	Macrolides	general antibiotic
TROLEANDOMYCIN	antichemo	Macrolides	General antibiotics
TYLOSIN	antichemo	Macrolides	general antibiotic
OLEANDOMYCIN	antichemo	Macrolides	general antibiotic
AZITHROMYCIN	antichemo	Macrolides	antibiotic
CLARYTHROMYCIN	antichemo	Macrolides	antibiotic
DOXYCYCLINE	antichemo	Macrolides	antibiotic
ERM_SENSITIVE	antichemo	Macrolides	antibiotic
ERYTHROMYCIN	antichemo	Macrolides	antibiotic
ERYTHROMYCIN_SENSITIVE	antichemo	Macrolides	antibiotic
MACROLIDE	antichemo	Macrolides	general antibiotics
SPIRAMYCIN	antichemo	Macrolides	antibiotic
SODIUM SALICYLATE	other	MarR inducer	general plant metabolite
4_5-DIHYDROXY-2-CYCLOPENTEN-1-ONE	other	Membrane disrupter	general antibiotic
DHCP	other	Membrane disrupter	general antibiotic
AZETREONAM_SENSITIVE	antichemo	Monobactams	antibiotic
AZTREONAM	antichemo	Monobactams	antibiotic
NITROFURANTOIN	antichemo	Monobactams	antibiotic
FURALTADONE	antichemo	nitrofuran	general antibiotic
BLEOMYCIN	antichemo	Non-ribosomal peptide antibiotic	antibiotic
BACIMETHRIN	antichemo	Nucleotide analog	antitumor
PLUMBAGIN_SENSITIVE	other	Organic dyes	antibiotic
GLYPHOSPHATE	other	Organophosphorous compound	pesticide
5_7-Dichloro-8-hydroxyquinaldine	other	Other antibiotic	General antibiotics
Ornidazole	oxidative	Oxidative Stress	general antibiotic
FOSFOMYCIN	antichemo	phosphonic	antibiotic
TIAMULIN	antichemo	Pleuromutilin	antibiotic
CAPREOMYCIN	antichemo	Polypeptide antibiotic	General antibiotics
Sodium nitrite	antichemo	preservative	general antibiotic
PYRAZINAMIDE_SENSITIVE	antichemo	PYRAZINAMIDE	antibiotic
CHIR-090	other	Research chemical	antibiotic
CAM_SENSITIVE	antichemo	Ribosomal targeting	antibiotic
CHLORAMPHENICOL	antichemo	Ribosomal targeting	antibiotic
CHLORAMPHENICOL_SENSITIVE	antichemo	Ribosomal targeting	antibiotic
FLORFENICOL_SENSITIVE	antichemo	Ribosomal targeting	antibiotic
RIFAMPICIN	antichemo	Ribosomal targeting	antibiotic
RIFAMPICIN_SENSITIVE	antichemo	Ribosomal targeting	antibiotic
Sulfachloropyridazine	antichemo	Sulfa drug	antibiotic
Sulfamethazine	antichemo	Sulfa drug	antibiotic
SULFANILAMIDE	antichemo	Sulfa drug	antibiotic
SULFATHIAZOLE	antichemo	Sulfa drug	antibiotic
Sulfisoxazole	antichemo	Sulfa drug	antibiotic
SULFA DRUG	antichemo	Sulfa drug	antibiotic
SULFA DRUG_SENSITIVE	antichemo	Sulfa drug	antibiotic
SULFADIAZINE	antichemo	Sulfa drug	antibiotic
SULFAMETHAXOZOLE	antichemo	Sulfa drug	antibiotic
SULFAMETHOXAZOL	antichemo	Sulfa drug	antibiotic
SULFAMETHOXAZOLE_SENSITIVE	antichemo	Sulfa drug	antibiotic
SULFAMONOMETHOXINE	antichemo	Sulfa drug	antibiotic
THYMOL	solvents_biofuels	Terpene	Solvents
THYMOL_SENSITIVE	solvents_biofuels	Terpene	Solvents
MINOCYCLINE	antichemo	Tetracycline	antibiotic
OXYTETRACYCLINE	antichemo	Tetracycline	antibiotic
Oxytetracycline	antichemo	Tetracycline	general antibiotic
TETRACYCLINE	antichemo	Tetracycline	antibiotic
TETRACYCLINE_SENSITIVE	antichemo	Tetracycline	antibiotic
Penimepicycline	antichemo	Tetracycline	general antibiotic
Rolitetracycline	antichemo	Tetracycline	general antibiotic
2_4-DIAMINO-6_7-DIISOPROPYL-PTERIDINE	antichemo	Unknown antibiotic	general antibiotic
3_5-DINITROBENZENE	antichemo	Unknown antibiotic	general antibiotic
BLASTICIDIN	antichemo	Unknown antibiotic	general antibiotic
CHELERYTHRINE	antichemo	Unknown antibiotic	general antibiotic
LIDOCANE	other	Unknown antibiotic	general antibiotic
5-NITRO-2-FURALDEHYDE SEMICARBAZONE	antichemo	Unusual antibiotics	general antibiotic
BILE	detergents	Antibiotics	Detergent
CHOLATE	detergents	Antibiotics	Detergent
TAUROCHOLATE	detergents	Antibiotics	Detergent
GUANIDINE HYDROCHLORIDE	detergents	Cell wall disrupter	denaturing detergents
Sanguinarine	detergents	Quaternary Detergent	Detergent
NIAPROOF	detergents	Quaternary Detergent	Detergent
BENZALKONIUM	detergents	Quaternary Detergent	Detergent
BENZALKONIUM CHLORIDE_SENSITIVE	detergents	Quaternary Detergent	Detergent
BENZETHONIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
BERBERINE	detergents	Quaternary Detergent	Detergent
CETRIMIDE	detergents	Quaternary Detergent	Detergent
CETYLDIMETHYLETHYL AMMONIUM BROMIDE	detergents	Quaternary Detergent	Detergent
CETYLPYRIDINIUM BROMIDE	detergents	Quaternary Detergent	Detergent
CETYLPYRIDINIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
CETYLTRIMETHYL AMMONIUM BROMIDE_SENSITIVE	detergents	Quaternary Detergent	Detergent
CPC	detergents	Quaternary Detergent	Detergent
Dodecyltrimethyl ammonium bromide	detergents	Quaternary Detergent	Detergent
METHYLTRIOCTYLAMMONIUM CHLORIDE	detergents	Quaternary Detergent	Detergent
TETRAPHENYLPHOSPHONIUM BROMIDE	detergents	Quaternary Detergent	Detergent
SDS	detergents	Surfactants	Detergent
SDS_SENSITIVE	detergents	Surfactants	Detergent
TRITON X	detergents	Surfactants	Detergent
FUFURAL	furans	Furans	Furan
FURFURAL	furans	Furans	Furan
HYDROLYSATE	furans	"Furans,short chain fatty acids,pH perturbation"	Environmental condition
CINNAMALDEHYDE	furans	Phenolic acid	cinnamic acid derivative
DIBUCAINE	general_antimetabolite	Anesthetic	Chemical
PROCAINE	general_antimetabolite	Anesthetic	Chemical
CHLOROPROMAZINE	general_antimetabolite	Antimetabolite	Chemical
P-HYDROXYBENZOIC ACID_SENSITIVE	general_antimetabolite	Antimicrobial preservative	Preservative
VERAPAMIL	general_antimetabolite	Calcium channel blocker	Chemical
EPINEPHRINE	general_antimetabolite	Hormone	Chemical
NOREPINEPHRINE	general_antimetabolite	Hormone	Chemical
RADICICOL	general_antimetabolite	HSP90 inihibitor	Chemical
GLYOXYLATE	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
METHYLGLYOXAL	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
METHYLGLYOXAL_SENSITIVE	general_antimetabolite	Metabolic intermediate	Metabolic intermediate
6-Mercaptopurine	general_antimetabolite	Nucleotide biosynthesis inhibitor	Nucleotide analog
RHODAMINE 6G	general_antimetabolite	Organic dyes	Dye
6-HYDROXY-2-NAPHTHOIC ACID_SENSITIVE	general_antimetabolite	Research chemical	Chemical
ALPHA-METHYL-D-GALACTOSIDE	general_growth	Alternative carbon source	Carbon sources
BETA-D-ALLOSE	general_growth	Alternative carbon source	Carbon sources
D-FRUCTOSE	general_growth	Alternative carbon source	Carbon sources
D-GLUCURONATE	general_growth	Alternative carbon source	Carbon sources
D-MANNITOL	general_growth	Alternative carbon source	Carbon sources
D-MELIBIOSE	general_growth	Alternative carbon source	Carbon sources
GLUCONATE CONSUMPTION	general_growth	Alternative carbon source	Carbon sources
LACTATE CONSUMPTION	general_growth	Alternative carbon source	Carbon sources
MELIBIONIC ACID	general_growth	Alternative carbon source	Carbon sources
ALANINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Alanine-Asparagine	general_growth	Amino acid carbon source	Carbon sources
Alanine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Alanine-Serine	general_growth	Amino acid carbon source	Carbon sources
ALANINE-SERINE	general_growth	Amino acid carbon source	Carbon sources
Arginine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Lysine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Arginine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
ASPARAGINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
ASPARTATE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Aspartate Utilization	general_growth	Amino acid carbon source	Carbon sources
Aspartate-Leucine	general_growth	Amino acid carbon source	Carbon sources
Aspartate-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
D-ALA-GLY-GLY	general_growth	Amino acid carbon source	Carbon sources
D-ALANINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
D-Alanine-Glycine	general_growth	Amino acid carbon source	Carbon sources
D-LYSINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Glutamate-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
GLYCINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Glycine-D-alanine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Glycine-D-Leucine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Glycine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Phenylalanine-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Glycine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
GLYCYL-L-ASPARTATE	general_growth	Amino acid carbon source	Carbon sources
Histidine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Isoleucine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
L-arginine	general_growth	Amino acid carbon source	Carbon sources
L-ASPARAGINE	general_growth	Amino acid carbon source	Carbon sources
L-ASPARTATE Utilization	general_growth	Amino acid carbon source	Carbon sources
Leucine-Alanine	general_growth	Amino acid carbon source	Carbon sources
Leucine-Glutamate	general_growth	Amino acid carbon source	Carbon sources
Leucine-Glycine	general_growth	Amino acid carbon source	Carbon sources
Leucine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
L-LYSINE UTILIZATION	general_growth	Amino acid carbon source	Carbon sources
Lysine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Lysine-serine	general_growth	Amino acid carbon source	Carbon sources
Methionine-Arginine	general_growth	Amino acid carbon source	Carbon sources
Methionine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Phenylalanine-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
POLY-L-LYSINE	general_growth	Amino acid carbon source	Carbon sources
Proline-Leucine	general_growth	Amino acid carbon source	Carbon sources
Serine-Leucine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Leucine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Tryptophan	general_growth	Amino acid carbon source	Carbon sources
Tryptophan-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
Tyrosine Utilization	general_growth	Amino acid carbon source	Carbon sources
TYROSINE-Phenylalanine	general_growth	Amino acid carbon source	Carbon sources
Tyrosine-Tyrosine	general_growth	Amino acid carbon source	Carbon sources
THEOPHYLLINE	general_growth	Caffeine-like compound	Chemical
1-2-PROPANEDIOL	general_growth	Diol	Diol
Ammonia Chloride	general_growth	Growth condition	Environmental condition
Anaerobic	general_growth	Growth condition	Environmental condition
FREEZE THAW CYCLES	general_growth	Growth condition	Environmental condition
GLUCOSAMINE 	general_growth	Growth condition	Sugar
GLYCEROL CONSUMPTION	general_growth	Growth condition	Environmental condition
GROWTH	general_growth	Growth condition	Environmental condition
GROWTH DEFECT SUPPRESSOR	general_growth	Growth condition	Environmental condition
LIFESPAN EXTENSION_SENSITIVE	general_growth	Growth condition	Environmental condition
LOW SHEAR MODELED MICROGRAVITY	general_growth	Growth condition	Environmental condition
LURIA-BERTANI BROTH_SENSITIVE	general_growth	Growth condition	Environmental condition
MALTOSE 	general_growth	Growth condition	Sugar
MOPS_SENSITIVE	general_growth	Growth condition	Environmental condition
N-ACETYLGLUCOSAMINE 	general_growth	Growth condition	Sugar
ALHPA-KETOGLUTARATE	general_growth	Metabolic intermediate	Metabolic intermediate
ALPHA-HYDROXYBUTYRATE	general_growth	Metabolic intermediate	Metabolic intermediate
ALPHA-KETOBUTYRATE	general_growth	Metabolic intermediate	Metabolic intermediate
BETA-HYDROXYPYRUVATE	general_growth	Metabolic intermediate	Metabolic intermediate
D-FRUCTOSE 6-PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
D-GLUCOSE 6-PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
DL-ALPHA-GLYCEROL PHOSPHATE	general_growth	Metabolic intermediate	Metabolic intermediate
GLYOXAL	general_growth	Metabolic intermediate	Metabolic intermediate
GUANOSINE	general_growth	Metabolic intermediate	Metabolic intermediate
L-CYSTEATE	general_growth	Metabolic intermediate	Metabolic intermediate
L-ORNITHINE	general_growth	Metabolic intermediate	Metabolic intermediate
N-ACETYL-D-GLUCOSAMINE	general_growth	Metabolic intermediate	Metabolic intermediate
RICH MEDIUM	general_growth	Rich media adaptation	Media types
FUCOSE	general_growth	Sugar	Sugar
FUCOSE_SENSITIVE	general_growth	Sugar	Sugar
GLUCOSE_SENSITIVE	general_growth	Sugar	Sugar
ALKALINE AMINO ACID UTILIZATION	general_growth	Use of Amino acids under unusual conditions	Media types
HIGH PRESSURE	high_gravity	Growth condition	Environmental condition
NA2CO3	high_ph	pH perturbation	Environmental condition
SODIUM BICARBONATE	high_ph	pH perturbation	Environmental condition
ALKALINE	high_ph	pH perturbation	Environmental condition
ALKALINE_SENSITIVE	high_ph	pH perturbation	Environmental condition
HEAT_SENSITIVE	high_temperature	Thermal perturbation	Environmental condition
HIGH TEMPERATURE	high_temperature	Thermal perturbation	Environmental condition
HIGH TEMPERATURE_SENSITIVE	high_temperature	Thermal perturbation	Environmental condition
THERMAL	high_temperature	Thermal perturbation	Environmental condition
ACID	low_ph	pH perturbation	Environmental condition
ACID STRESS	low_ph	pH perturbation	Environmental condition
ACID_SENSITIVE	low_ph	pH perturbation	Environmental condition
PH SPECTRUM	low_pH	pH Range tolerance	Environmental condition
COLD_SENSITIVE	low_temperature	Thermal perturbation	Environmental condition
LOW TEMPERATURE_SENSITIVE	low_temperature	Thermal perturbation	Environmental condition
SODIUM ARSENITE	metal_ions	Arsenic drug	antibiotic
ANTIMONY CHLORIDE	metal_ions	Metal salt antibiotic	general antibiotic
EDTA_SENSITIVE	metal_ions	Metal Chelators	Dentate compound
EGCG	metal_ions	Metal Chelators	Dentate compound
EGTA	metal_ions	Metal Chelators	Dentate compound
ETDA_SENSITIVE	metal_ions	Metal Chelators	Dentate compound
1_10-Phenanthroline	metal_ions	Chelating agent	Metal ion scavengers
Potassium chromate	metal_ions	Chromates	Metals
Sodium dichromate	metal_ions	Chromates	Metals
TOXIC IONS	metal_ions	Generic metal stress	Metals
MAGNESIUM SULFATE	metal_ions	Metal ion toxicity	Metals
MANGANESE CHLORIDE	metal_ions	Metal ion toxicity	Metals
Sodium Selenite	metal_ions	Metal ion toxicity	Metals
SODIUM TUNGSTATE	metal_ions	Metal ion toxicity	Metals
ANTIMONITE_SENSITIVE	metal_ions	Metal Ions	Metals
ARSENITE_SENSITIVE	metal_ions	Metal Ions	Metals
CADMIUM	metal_ions	Metal Ions	Metals
CADMIUM_SENSITIVE	metal_ions	Metal Ions	Metals
CHROMIUM_SENSITIVE	metal_ions	Metal Ions	Metals
COBALT	metal_ions	Metal Ions	Metals
COBALT CHLORIDE	metal_ions	Metal Ions	Metals
COBALT CHLORIDE_SENSITIVE	metal_ions	Metal Ions	Metals
COBALT_SENSITIVE	metal_ions	Metal Ions	Metals
COCL2	metal_ions	Metal Ions	Metals
COPPER	metal_ions	Metal Ions	Metals
COPPER_SENSITIVE	metal_ions	Metal Ions	Metals
GOLD	metal_ions	Platinum group	Metals
Iron	metal_ions	Metal Ions	Metals
MERCURY	metal_ions	Metal Ions	Metals
MERCURY_SENSITIVE	metal_ions	Metal Ions	Metals
METAL IONS	metal_ions	Metal Ions	Metals
NICKEL	metal_ions	Metal Ions	Metals
NICKEL_SENSITIVE	metal_ions	Metal Ions	Metals
POTASSIUM TELLURITE_SENSITIVE	metal_ions	Metal Ions	Metals
SILVER	metal_ions	Platinum group	Metals
SILVER_SENSITIVE	metal_ions	Platinum group	Metals
SODIUM IONS_SENSITIVE	metal_ions	Metal Ions	Metals
TELLURITE	metal_ions	Metal Ions	Metals
ZINC	metal_ions	Metal Ions	Metals
ZINC_SENSITIVE	metal_ions	Metal Ions	Metals
Nickel Chloride	metal_ions	Nickel	metal ions
ORGANIC MERCURY	metal_ions	organic mercury compound	metal_ions
ANTIMONY	metal_ions	Poisonous metal	antimicrobial metals
ARSENIC	metal_ions	Poisonous metal	antimicrobial metals
MMS	mutagens	Alkylating agent	Mutagenic compounds
PROPIDIUM IODIDE	mutagens	Frameshift mutagen	antibiotic
MITOMYCIN C	mutagens	Mitomycins	antibiotic
MITOMYCIN C_SENSITIVE	mutagens	Mitomycins	antibiotic
BROMOACETATE	mutagens	Alkylating agent	Mutagenic compounds
BROMOACETATE_SENSITIVE	mutagens	Alkylating agent	Mutagenic compounds
METHYL METHANESULFONATE_SENSITIVE	mutagens	Alkylating agent	Mutagenic compounds
